QSPRID,Activity_ID,Quality,source,CID,SMILES,connectivity,InChIKey,InChI,InChI_AuxInfo,target_id,TID,accession,Protein_Type,AID,doc_id,Year,all_doc_ids,all_years,type_IC50,type_EC50,type_KD,type_Ki,type_other,Activity_class,relation,pchembl_value,pchembl_value_Mean,pchembl_value_StdDev,pchembl_value_SEM,pchembl_value_N,pchembl_value_Median,pchembl_value_MAD,QSPRID,BindingType,pchembl_value_Mean_original,Split_IsTrain
TRalpha_001,AGHZMEAERHWCSB_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL402714,Cc1ccccc1COc1c(Br)cc(CCC(=O)O)cc1Br,AGHZMEAERHWCSB,AGHZMEAERHWCSB-UHFFFAOYSA-N,"InChI=1S/C17H16Br2O3/c1-11-4-2-3-5-13(11)10-22-17-14(18)8-12(9-15(17)19)6-7-16(20)21/h2-5,8-9H,6-7,10H2,1H3,(H,20,21)","AuxInfo=1/1/N:1,4,5,3,6,15,16,13,20,8,2,14,7,11,21,17,10,12,22,18,19,9/E:(8,9)(14,15)(18,19)(20,21)/rA:22CCCCCCCCOCCBrCCCCCOOCCBr/rB:s1;d2;s3;d4;s5;s2d6;s7;s8;s9;d10;s11;s11;d13;s14;s15;s16;d17;s17;s14;s10d20;s21;/rC:;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL903380,PMID:17254783,2007.0,PMID:17254783,2007,1,0,0,0,0,,=,5.890,5.89,0.0,0.0,1.0,5.89,0.0,TRalpha_001,,5.89,True
TRalpha_002,AKEHDUZHUGHYIV_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL505084,Cc1cc(NC(=O)P(=O)(O)O)cc(C)c1Oc1ccc(O)c(C(C)C)c1,AKEHDUZHUGHYIV,AKEHDUZHUGHYIV-UHFFFAOYSA-N,"InChI=1S/C18H22NO6P/c1-10(2)15-9-14(5-6-16(15)20)25-17-11(3)7-13(8-12(17)4)19-18(21)26(22,23)24/h5-10,20H,1-4H3,(H,19,21)(H2,22,23,24)","AuxInfo=1/1/N:24,25,1,14,18,19,3,12,26,23,2,13,4,17,22,20,15,6,5,21,7,9,10,11,16,8/E:(1,2)(3,4)(7,8)(11,12)(22,23,24)/rA:26CCCCNCOPOOOCCCCOCCCCOCCCCC/rB:s1;d2;s3;s4;s5;d6;s6;d8;s8;s8;d4;s12;s13;s2d13;s15;s16;d17;s18;d19;s20;s20;s22;s23;s23;s17d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL949479,PMID:18975928,2008.0,PMID:18975928,2008,0,0,0,1,0,,=,6.540,6.54,0.0,0.0,1.0,6.54,0.0,TRalpha_002,,6.54,True
TRalpha_003,ANMSUCKVCVQUCL_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL217298,O=C(O)CCc1ccccc1OCC1C(Br)CCCC1Br,ANMSUCKVCVQUCL,ANMSUCKVCVQUCL-UHFFFAOYSA-N,"InChI=1S/C16H20Br2O3/c17-13-5-3-6-14(18)12(13)10-21-15-7-2-1-4-11(15)8-9-16(19)20/h1-2,4,7,12-14H,3,5-6,8-10H2,(H,19,20)","AuxInfo=1/1/N:8,9,18,7,17,19,10,5,4,13,6,14,15,20,11,2,16,21,1,3,12/E:(5,6)(13,14)(17,18)(19,20)/rA:21OCOCCCCCCCCOCCCBrCCCCBr/rB:d1;s2;s2;s4;s5;d6;s7;d8;s9;s6d10;s11;s12;s13;s14;s15;s15;s17;s18;s14s19;s20;/rC:;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL856619,PMID:17154490,2006.0,PMID:17154490,2006,1,0,0,0,0,,=,6.340,6.34,0.0,0.0,1.0,6.34,0.0,TRalpha_003,,6.34,True
TRalpha_005,ATARDLYEQPCOKZ_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL5188839,COc1nc(C(=O)NCC(=O)O)c(O)c2ccc(Oc3c(C)cc(Cc4ccccc4)cc3C)cc12,ATARDLYEQPCOKZ,ATARDLYEQPCOKZ-UHFFFAOYSA-N,"InChI=1S/C28H26N2O6/c1-16-11-19(13-18-7-5-4-6-8-18)12-17(2)26(16)36-20-9-10-21-22(14-20)28(35-3)30-24(25(21)33)27(34)29-15-23(31)32/h4-12,14,33H,13,15H2,1-3H3,(H,29,34)(H,31,32)","AuxInfo=1/1/N:22,34,1,29,28,30,27,31,17,16,23,32,25,35,9,21,33,26,24,18,15,36,10,5,13,20,6,3,8,4,11,12,14,7,2,19/E:(1,2)(5,6)(7,8)(11,12)(16,17)(31,32)/rA:36COCNCCONCCOOCOCCCCOCCCCCCCCCCCCCCCCC/rB:s1;s2;d3;s4;s5;d6;s6;s8;s9;d10;s10;d5;s13;s13;d15;s16;d17;s18;s19;d20;s21;s21;d23;s24;s25;d26;s27;d28;s29;s26d30;s24;s20d32;s33;s18;s3s15d35;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL5166787,PMID:35507418,2022.0,PMID:35507418,2022,0,1,0,0,0,,=,7.750,7.75,0.0,0.0,1.0,7.75,0.0,TRalpha_005,,7.75,True
TRalpha_008,AHPLOHJAEWIFEV_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL3126370,CC(C)c1cc(Cn2ccc3c(NC(=O)C(=O)O)cccc32)ccc1O,AHPLOHJAEWIFEV,AHPLOHJAEWIFEV-UHFFFAOYSA-N,"InChI=1S/C20H20N2O4/c1-12(2)15-10-13(6-7-18(15)23)11-22-9-8-14-16(4-3-5-17(14)22)21-19(24)20(25)26/h3-10,12,23H,11H2,1-2H3,(H,21,24)(H,25,26)","AuxInfo=1/1/N:1,3,20,19,21,23,24,10,9,5,7,2,6,11,4,12,22,25,14,16,13,8,26,15,17,18/E:(1,2)(25,26)/rA:26CCCCCCCNCCCCNCOCOOCCCCCCCO/rB:s1;s2;s2;d4;s5;s6;s7;s8;d9;s10;d11;s12;s13;d14;s14;d16;s16;s12;d19;s20;s8s11d21;d6;s23;s4d24;s25;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860;EntrezID:7067,P10827,WT,CHEMBL3131652,PMID:24290064,2014.0,PMID:24290064;PubChemAID:1073540,2014,1,0,0,0,0,,=,5.92,5.92,0.0,0.0,1.0,5.92,0.0,TRalpha_008,,5.92,True
TRalpha_009,AOXRZYHUTQBXCN_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL3261321,CC(C)c1cc(Oc2c(Br)cc(CC(=O)O)cc2Br)n[nH]c1=O,AOXRZYHUTQBXCN,AOXRZYHUTQBXCN-UHFFFAOYSA-N,"InChI=1S/C15H14Br2N2O4/c1-7(2)9-6-12(18-19-15(9)22)23-14-10(16)3-8(4-11(14)17)5-13(20)21/h3-4,6-7H,5H2,1-2H3,(H,19,22)(H,20,21)","AuxInfo=1/1/N:1,3,11,17,13,5,2,12,4,9,18,6,14,8,22,10,19,20,21,15,16,23,7/E:(1,2)(3,4)(10,11)(16,17)(20,21)/rA:23CCCCCCOCCBrCCCCOOCCBrNNCO/rB:s1;s2;s2;d4;s5;s6;s7;d8;s9;s9;d11;s12;s13;d14;s14;s12;s8d17;s18;d6;s20;s4s21;d22;/rC:;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860;EntrezID:7067,P10827,WT,CHEMBL3266219,PMID:24712661,2014.0,PMID:24712661;PubChemAID:1139981,2014;2015,0,1,0,0,0,,=,5.48,5.48,0.0,0.0,1.0,5.48,0.0,TRalpha_009,,5.48,True
TRalpha_010,AWOYKHJWMXPCTQ_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL97613,C=CCC(c1ccc(O)c(C(C)C)c1)c1c(C)cc(OCC(=O)O)cc1C,AWOYKHJWMXPCTQ,AWOYKHJWMXPCTQ-UHFFFAOYSA-N,"InChI=1S/C23H28O4/c1-6-7-19(17-8-9-21(24)20(12-17)14(2)3)23-15(4)10-18(11-16(23)5)27-13-22(25)26/h6,8-12,14,19,24H,1,7,13H2,2-5H3,(H,25,26)","AuxInfo=1/1/N:1,12,13,17,27,2,3,6,7,18,25,14,21,11,16,26,5,19,4,10,8,22,15,9,23,24,20/E:(2,3)(4,5)(10,11)(15,16)(25,26)/rA:27CCCCCCCCOCCCCCCCCCCOCCOOCCC/rB:d1;s2;s3;s4;d5;s6;d7;s8;s8;s10;s11;s11;s5d10;s4;d15;s16;s16;d18;s19;s20;s21;d22;s22;s19;s15d25;s26;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL814593,PMID:11597408,2001.0,PMID:11597408,2001,0,0,1,0,0,,=,6.370,6.37,0.0,0.0,1.0,6.37,0.0,TRalpha_010,,6.37,True
TRalpha_011,AZRFPEWTWCMINZ_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL3261325,CC(C)c1cc(Oc2c(Cl)cc(NC(=O)C(=O)O)cc2Cl)n[nH]c1=O,AZRFPEWTWCMINZ,AZRFPEWTWCMINZ-UHFFFAOYSA-N,"InChI=1S/C15H13Cl2N3O5/c1-6(2)8-5-11(19-20-13(8)21)25-12-9(16)3-7(4-10(12)17)18-14(22)15(23)24/h3-6H,1-2H3,(H,18,22)(H,20,21)(H,23,24)","AuxInfo=1/1/N:1,3,11,19,5,2,12,4,9,20,6,8,24,14,16,10,21,13,22,23,25,15,17,18,7/E:(1,2)(3,4)(9,10)(16,17)(23,24)/rA:25CCCCCCOCCClCCNCOCOOCCClNNCO/rB:s1;s2;s2;d4;s5;s6;s7;d8;s9;s9;d11;s12;s13;d14;s14;d16;s16;s12;s8d19;s20;d6;s22;s4s23;d24;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL3266219,PMID:24712661,2014.0,PMID:24712661,2014,0,1,0,0,0,,=,6.680,6.68,0.0,0.0,1.0,6.68,0.0,TRalpha_011,,6.68,True
TRalpha_012,BCWHVDGZTARFIJ_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL4202476,COC(=O)c1cccc(OCc2oc(-c3ccccc3OC)nc2C)c1,BCWHVDGZTARFIJ,BCWHVDGZTARFIJ-UHFFFAOYSA-N,"InChI=1S/C20H19NO5/c1-13-18(12-25-15-8-6-7-14(11-15)20(22)24-3)26-19(21-13)16-9-4-5-10-17(16)23-2/h4-11H,12H2,1-3H3","AuxInfo=1/0/N:25,22,1,17,18,7,6,8,16,19,26,11,24,5,9,15,20,12,14,3,23,4,21,2,10,13/rA:26COCOCCCCCOCCOCCCCCCCOCNCCC/rB:s1;s2;d3;s3;d5;s6;d7;s8;s9;s10;s11;s12;s13;s14;d15;s16;d17;s18;s15d19;s20;s21;d14;d12s23;s24;s5d9;/rC:;;;;;;;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL4184934,PMID:29287957,2018.0,PMID:29287957,2018,1,0,0,0,0,,=,5.000,5.0,0.0,0.0,1.0,5.0,0.0,TRalpha_012,,5.0,True
TRalpha_014,BNBWGVDBRHRJFJ_on_P10827_WT,High,ChEMBL34,ChEMBL:CHEMBL192142,O=C(O)Cc1cc(Br)c(OCC2CCCCC2)c(Br)c1,BNBWGVDBRHRJFJ,BNBWGVDBRHRJFJ-UHFFFAOYSA-N,"InChI=1S/C15H18Br2O3/c16-12-6-11(8-14(18)19)7-13(17)15(12)20-9-10-4-2-1-3-5-10/h6-7,10H,1-5,8-9H2,(H,18,19)","AuxInfo=1/1/N:15,14,16,13,17,6,20,4,11,12,5,7,18,2,9,8,19,1,3,10/E:(2,3)(4,5)(6,7)(12,13)(16,17)(18,19)/rA:20OCOCCCCBrCOCCCCCCCCBrC/rB:d1;s2;s2;s4;d5;s6;s7;d7;s9;s10;s11;s12;s13;s14;s15;s12s16;s9;s18;s5d18;/rC:;;;;;;;;;;;;;;;;;;;;",P10827_WT,ChEMBL:CHEMBL1860,P10827,WT,CHEMBL827048;CHEMBL876988,PMID:15857115,2005.0,PMID:15857115,2005,1,0,0,0,0,,=,6.380;5.570,5.975,0.405,0.405,2.0,5.975,0.405,TRalpha_014,,5.975,False
